iter;year;IR;EQ;RE;CS;Gov;Corp
3;12;-0.012871289;0.053226031;1.868783031;0.011276324;1.283233448;1.265755305
3;13;-0.021263841;0.018793832;1.884156846;0.010820622;1.375120434;1.349259729
3;14;-0.018762126;0.030529274;1.525996744;0.01071243;1.382167904;1.353969912
3;15;-0.016164881;0.030559304;1.578782599;0.010461998;1.389486311;1.362066701
3;16;-0.017545399;0.031477659;1.680446896;0.010021389;1.431704655;1.402114821
3;17;-0.017273303;0.038922303;1.911843522;0.009409958;1.468659964;1.434892963
3;18;-0.020711502;0.033886647;1.939521197;0.008986024;1.521563703;1.486038848
3;19;-0.01743405;0.021858624;1.749773135;0.008647793;1.521282148;1.487909446
3;20;-0.014175662;0.032991995;1.549647258;0.0082986;1.520281154;1.488684743
3;21;-0.004618631;0.033134253;1.473755572;0.007908309;1.471263144;1.445967258
3;22;-0.000880793;0.030008221;1.365616594;0.007329664;1.473462875;1.448477159
3;23;0.010852895;0.018897683;1.38754031;0.007316384;1.390980914;1.377606941
3;24;0.010970535;0.008918488;1.48882329;0.00679484;1.414746215;1.40156238
3;25;0.008554267;0.011169089;1.209254053;0.006344157;1.455912089;1.43802237
3;26;0.015022034;0.014419074;1.260831543;0.006174679;1.417738854;1.406598236
3;27;0.007282672;0.011566556;1.312471331;0.005919233;1.492558957;1.472504915
3;28;0.01707986;0.007494964;1.149478664;0.005900979;1.423840083;1.41242605
3;29;0.027782882;0.012569359;1.249212312;0.005810812;1.356875132;1.35352946
3;30;0.026434615;0.010399119;1.152022895;0.005395074;1.390501541;1.375246496
3;31;0.018891963;0.00452006;1.187143805;0.00510266;1.457406631;1.440045161
3;32;0.022537894;0.009051938;1.142426542;0.004979253;1.440307397;1.425242625
3;33;0.027524925;0.015387035;1.057550544;0.004855513;1.414618796;1.399054963
3;34;0.028467609;0.016463384;1.064417401;0.004629051;1.418611889;1.404636951
3;35;0.017159146;0.014489969;1.111770815;0.0044818;1.510422779;1.484578066
3;36;0.019397674;0.017643552;1.102943137;0.004526015;1.493937476;1.472323246
3;37;0.017277937;0.009604879;1.071806292;0.004506236;1.512844948;1.492395392
3;38;0.024375598;0.011938301;1.169352773;0.004612826;1.463111939;1.448512581
3;39;0.018497043;0.016522769;1.175038519;0.004386024;1.525335404;1.501715244
3;40;0.015566955;0.013545618;1.024304711;0.00428965;1.561009527;1.533756345
3;41;0.007664335;0.020234888;1.032039648;0.00404077;1.644035127;1.610145808
3;42;0.017105352;0.023446744;0.988446633;0.004086048;1.573579463;1.547802591
3;43;0.016656092;0.023915235;0.970481747;0.003876128;1.594005415;1.565831796
3;44;0.022102748;0.022972901;1.000058387;0.003724909;1.564202844;1.53950887
3;45;0.019183632;0.015895865;1.008344158;0.003386731;1.607429933;1.581125783
3;46;0.010326364;0.014654068;0.919120365;0.003068602;1.699939274;1.666807374
3;47;0.009958902;0.012815491;0.930306628;0.003155857;1.705760725;1.670646526
3;48;0.021419306;0.020585761;0.87040881;0.003281693;1.608905586;1.58471244
3;49;0.025424892;0.019040719;0.847230833;0.002961288;1.594271259;1.572955985
3;50;0.025755854;0.013847349;0.877419526;0.0026931;1.605571103;1.585961989
4;0;0.01141;1;1;0.013605159;1;1
4;1;0.009084039;0.87751743;0.884758438;0.013340369;1.026978553;1.018421819
4;2;0.011048912;0.814303684;0.913149003;0.013358631;1.024598656;1.009020482
4;3;0.018835066;1.071446578;0.898937593;0.013347896;0.990559926;0.981220948
4;4;0.020881102;1.123534794;0.985373409;0.012934378;0.996369564;0.987563757
4;5;0.024737614;0.997941473;1.017879492;0.01257332;0.990333843;0.982996434
4;6;0.030703724;1.032867184;1.123693569;0.012264116;0.971372554;0.967411736
4;7;0.036173474;1.514454652;1.226905203;0.011951422;0.954597264;0.951409639
4;8;0.039215191;1.499633504;1.186227273;0.01153219;0.951422547;0.946478744
4;9;0.037481528;1.468003899;1.049252466;0.011053026;0.96996969;0.961169084
4;10;0.026150581;1.600703249;1.230071563;0.010933055;1.030145504;1.004815137
4;11;0.028695959;2.817393043;1.152680574;0.011185158;1.007036919;0.986484396
4;12;0.023093008;2.933495242;1.080481616;0.011159715;1.034474158;1.012546761
4;13;0.015647538;2.554755669;0.988318067;0.011203449;1.073318627;1.045191702
4;14;0.028819728;3.181456897;0.967900414;0.012138764;0.991849995;0.95828958
4;15;0.033045009;3.506813847;1.067542903;0.012199945;0.972053316;0.941346798
4;16;0.038945521;3.053149347;0.901071193;0.012205457;0.946235194;0.918465029
4;17;0.033299745;3.082595307;0.992480515;0.011759243;0.982885082;0.951951797
4;18;0.031087907;2.774025483;1.069937867;0.011577229;0.997307951;0.964214923
4;19;0.01971446;1.371485496;1.004639603;0.011240236;1.061164945;1.021439129
4;20;0.013948281;1.41950169;1.142512006;0.011265775;1.087760494;1.046368125
4;21;0.012443436;1.007742777;1.162106423;0.011486677;1.087078303;1.047228221
4;22;0.010290443;0.458607745;1.269399825;0.011679614;1.090512152;1.05242939
4;23;0.010117224;0.046433814;1.1043302;0.011868129;1.085730537;1.049813905
4;24;-0.002613288;0.013728123;1.214113226;0.011625048;1.163269765;1.118903903
4;25;-0.000649044;0.016714481;1.779427573;0.01202382;1.141424888;1.097925094
4;26;-0.004921339;0.00534066;1.529901134;0.011991467;1.169762505;1.123326708
4;27;0.000710498;0.013970797;1.536291707;0.012306713;1.129395261;1.090549743
4;28;0.002617016;0.023723246;1.856081133;0.012236446;1.125290194;1.086999291
4;29;0.007581349;0.004970152;1.912362555;0.012351783;1.097931779;1.064506999
4;30;0.015576092;0.005273578;2.596646225;0.012353198;1.060224191;1.03291467
4;31;0.037174297;0.00853458;2.571373135;0.012433265;0.959356131;0.943761318
4;32;0.05251939;0.012315002;2.215666803;0.012217449;0.902047333;0.893015198
4;33;0.058271362;0.007442855;2.164731774;0.011598088;0.894421343;0.887574524
4;34;0.060054956;0.002140181;1.954758928;0.011099571;0.898614458;0.893221042
4;35;0.057135073;0.002592299;2.233645168;0.010433528;0.92463911;0.917202849
4;36;0.066983725;0.002179536;2.352186543;0.010229616;0.88608634;0.882930582
4;37;0.056284623;0.00109032;3.069779087;0.009652898;0.9393747;0.930245276
4;38;0.047181497;0.001758713;3.130221485;0.009497104;0.978828815;0.962638703
4;39;0.049276608;0.003069642;3.355243145;0.009832177;0.956286899;0.938160844
4;40;0.051253427;0.004031538;3.121847762;0.010007617;0.935518537;0.920633264
4;41;0.045890498;0.006059924;2.634307658;0.010049886;0.95142516;0.933936891
4;42;0.045019819;0.005178195;2.846007042;0.010549722;0.936643803;0.920791133
4;43;0.033216931;0.004834796;2.690409546;0.01057471;0.983938479;0.964863846
4;44;0.029770671;0.005248392;2.433699366;0.011031229;0.983469813;0.967067931
4;45;0.033784059;0.00376207;2.294312492;0.011492602;0.950007115;0.937620592
4;46;0.03148327;0.003001865;2.258906405;0.011694965;0.952805401;0.941372878
4;47;0.028971715;0.003193999;2.035019458;0.011862158;0.958788247;0.947095783
4;48;0.044799503;0.002850227;1.71115635;0.012356033;0.877001172;0.869617909
4;49;0.055534847;0.003522147;1.63675452;0.012497927;0.828335904;0.825729197
4;50;0.053742838;0.001816344;1.487173123;0.012273658;0.836873643;0.834043009
5;0;0.01141;1;1;0.013605159;1;1
5;1;0.007149072;0.845131042;1.024873989;0.013204611;1.035623897;1.03425567
5;2;0.000990305;1.093491908;1.032175837;0.012753157;1.085366598;1.079534811
5;3;0.013371502;0.830679322;0.906209956;0.012899114;1.020693487;1.019397389
5;4;0.008125857;0.985052108;0.92638717;0.012335627;1.066097135;1.062172166
5;5;0.010154593;1.03286224;0.896366299;0.012076038;1.067389198;1.05867957
5;6;0.004592605;1.158606441;1.018191558;0.011579272;1.112565832;1.099981804
5;7;0.006866231;1.0693769;1.226202375;0.011715737;1.092297247;1.08323566
5;8;0.014910447;1.199456958;1.434028902;0.011839345;1.0435699;1.041141394
5;9;0.013027925;1.30736385;1.431187307;0.011575184;1.059403611;1.057031565
5;10;0.007979113;1.308921463;1.299841255;0.011398278;1.092420832;1.086385888
5;11;0.016237208;1.446466747;1.222802383;0.011666781;1.04583584;1.039695379
5;12;0.026738371;1.461997082;1.521867789;0.011923129;0.991551683;0.988456338
5;13;0.027061065;1.451635048;1.448003688;0.011738002;0.999966959;0.99352881
5;14;0.027765408;1.610394767;1.497130695;0.011483225;1.005260737;0.998378913
5;15;0.038766036;1.20845998;1.692043326;0.011606679;0.950869421;0.94949142
5;16;0.039143332;1.355859239;1.626881335;0.011278479;0.954698543;0.954426554
5;17;0.03374226;1.322445615;1.943910645;0.011016595;0.983457167;0.980059754
5;18;0.017960062;1.146649584;1.916241325;0.010500734;1.072864867;1.061579097
5;19;0.011798985;0.899028354;1.732029892;0.010439547;1.103336893;1.089689403
5;20;0.010385149;0.740872679;1.999425159;0.010926324;1.088993612;1.080997069
5;21;0.000544885;0.936797852;1.718666752;0.011115108;1.136106045;1.123308601
5;22;-0.011309922;1.029946343;1.723981122;0.011266915;1.203462968;1.183318215
5;23;-0.013174723;0.985051495;1.374879862;0.011635418;1.206127621;1.187950355
5;24;-0.015472104;1.076257733;1.368879428;0.011883795;1.219523111;1.200035867
5;25;-0.025405519;0.924757515;1.535368071;0.011753742;1.298338427;1.269652138
5;26;-0.031619721;0.993656167;1.617579071;0.01178952;1.350216522;1.317607478
5;27;-0.028700368;1.320643327;1.549870151;0.012036709;1.333720706;1.305185093
5;28;-0.029855532;1.641806854;1.45252439;0.011938261;1.362893546;1.330004074
5;29;-0.014067488;1.63456574;1.454750567;0.01219082;1.263596713;1.244395076
5;30;0.004977809;1.498475116;1.463470898;0.012167664;1.165099892;1.156996459
5;31;0.001397092;1.304945387;1.339402169;0.011442352;1.226743679;1.20950351
5;32;0.002834607;1.272026281;1.193140696;0.010773492;1.254154194;1.236683121
5;33;0.008147247;1.00775404;1.22757676;0.010252652;1.251828175;1.236897367
5;34;-0.006600388;0.560105301;1.21420166;0.00938744;1.395387275;1.369360115
5;35;0.016694973;0.552266987;1.221385709;0.009327766;1.256207085;1.245010523
5;36;0.017694116;0.787359677;1.1857122;0.008479103;1.289819617;1.271876664
5;37;0.014516903;0.455903867;1.517149193;0.007811056;1.340642089;1.320667751
5;38;0.011741438;0.489263246;1.425167969;0.007086812;1.392251091;1.368213269
5;39;0.010875707;0.542923395;1.404805688;0.00676645;1.412949341;1.389913297
5;40;0.017739264;0.607110938;1.390285117;0.006645485;1.37236518;1.355880421
5;41;0.010879049;0.570785838;1.35772317;0.006225274;1.441006152;1.420805312
5;42;0.000288148;0.596954278;1.655110608;0.0059801;1.537837534;1.511344685
5;43;0.008125348;0.229344119;1.928451493;0.006146331;1.478385739;1.459961876
5;44;0.022530184;0.363611586;1.7609196;0.006116695;1.383388793;1.371167912
5;45;0.037568431;0.559116978;1.360894685;0.006325973;1.295874719;1.270402818
5;46;0.033375845;0.467419837;1.480799918;0.005759416;1.34934565;1.320682524
5;47;0.035857922;0.530676389;1.663005543;0.005444801;1.349542557;1.322792854
5;48;0.035281116;0.802973858;1.757774325;0.005070517;1.372192177;1.345050364
5;49;0.038520447;0.84605754;1.937404177;0.004903536;1.362463363;1.334036014
5;50;0.053175743;0.887973867;1.778999264;0.004734912;1.276448868;1.253859003
6;0;0.01141;1;1;0.013605159;1;1
6;1;0.003448454;0.775020087;1.382287589;0.013041219;1.059330071;1.055648625
6;2;-0.00468199;0.356532378;1.319515741;0.01261406;1.120067713;1.111820584
6;3;-0.002717036;0.235923074;1.142848162;0.012476248;1.116490253;1.11001625
6;4;-0.00506796;0.24397652;1.07693027;0.012278427;1.139777188;1.130850198
6;5;0.01338347;0.698223594;1.116814442;0.012495803;1.035713604;1.037128027
6;6;0.024132192;0.841681953;1.264526745;0.012479095;0.984434216;0.992608085
6;7;0.024133595;0.885546848;1.314405557;0.01206095;0.997476609;1.005938225
6;8;0.026765113;0.569386169;1.333791656;0.011787557;0.995434178;1.001141767
6;9;0.032718858;1.116940212;1.567615761;0.011600592;0.973875768;0.98286179
6;10;0.033522235;1.219197677;1.185083728;0.011328791;0.980339685;0.990016531
6;11;0.040376001;1.005852048;1.303428917;0.011263304;0.956117986;0.967915808
6;12;0.031479718;0.36877496;1.457988306;0.01077376;1.016661093;1.025454605
6;13;0.021464797;0.51046237;1.565654641;0.010568813;1.08141565;1.083841882
6;14;0.022404329;0.240095267;1.332637671;0.010544163;1.085547664;1.086689526
6;15;0.031828202;0.424772275;1.442717848;0.010732639;1.039334674;1.043055684
6;16;0.029442171;0.17219638;1.75130847;0.01052531;1.065379929;1.061707778
6;17;0.03796096;0.208727328;1.868777882;0.0105958;1.034442891;1.01854078
6;18;0.024876386;0.292839037;1.675402157;0.009965176;1.1227858;1.10071549
6;19;0.023101204;0.490100403;2.000278959;0.009724117;1.144474393;1.120009818
6;20;0.018542079;0.503594249;1.783948567;0.009517511;1.180071599;1.154729908
6;21;0.021500015;0.588641963;1.947999517;0.009461525;1.167907108;1.145816442
6;22;0.025975296;0.56613188;2.31113853;0.00940438;1.149031237;1.130986819
6;23;0.02707201;0.579058966;2.168045333;0.00926493;1.152297091;1.135973389
6;24;0.03636232;0.681890587;1.901738816;0.00915225;1.111313336;1.097206227
6;25;0.048476362;0.606083654;2.02634302;0.008931332;1.05873251;1.049053237
6;26;0.04849666;0.547658347;2.307042722;0.008467151;1.074302042;1.065093463
6;27;0.055466869;0.719803788;2.60750703;0.008111901;1.05101389;1.044811871
6;28;0.056040846;0.453287517;2.660450511;0.007795474;1.057863667;1.052605302
6;29;0.058959427;0.59085942;2.216203738;0.00759097;1.049847455;1.04743505
6;30;0.065984186;0.502550552;2.265598943;0.007370663;1.021741789;1.022405818
6;31;0.072855521;0.350442518;2.035666434;0.007141149;0.993927636;0.99847983
6;32;0.061853908;0.185926924;2.069296179;0.006640454;1.057531635;1.059190416
6;33;0.069198969;0.246096701;1.9137472;0.006776932;1.017072531;1.021984562
6;34;0.074675792;0.165434786;2.145073134;0.006727649;0.990914495;0.999272692
6;35;0.082438918;0.201950041;1.980605415;0.006689498;0.955813218;0.968603054
6;36;0.087118728;0.337928005;2.363259109;0.006592154;0.937758331;0.952699368
6;37;0.082024907;0.312410554;2.564988345;0.006397767;0.963409837;0.974934172
6;38;0.084097012;0.271927369;2.48054943;0.006329859;0.954314251;0.966867036
6;39;0.079181911;0.155458549;2.469326996;0.006263069;0.974083826;0.987705642
6;40;0.079742842;0.081701486;2.422879395;0.006356438;0.969249065;0.981228444
6;41;0.085242066;0.139500358;2.337160267;0.006442304;0.942278574;0.958079201
6;42;0.082307178;0.044128856;2.470662464;0.006420969;0.95423856;0.968978818
6;43;0.079283562;0.074110163;2.296058341;0.006383554;0.966207513;0.980968892
6;44;0.079902347;0.029988777;2.019684151;0.00636003;0.962547715;0.977942036
6;45;0.085467568;0.033388817;2.029229234;0.006249925;0.939403942;0.95622345
6;46;0.074400841;0.014738506;2.438166233;0.006104205;0.985141761;0.999324053
6;47;0.063933956;0.004358227;2.364788867;0.006105161;1.027478424;1.03971085
6;48;0.057780677;0.00214127;2.188583053;0.006355545;1.044160307;1.056035519
6;49;0.040925924;0.002592081;2.271125509;0.006409121;1.1212983;1.128418394
6;50;0.047472786;0.005232402;2.530925857;0.007142849;1.055619842;1.070562245
7;0;0.01141;1;1;0.013605159;1;1
7;1;0.021858324;1.290418308;1.278480152;0.013503708;0.956532439;0.960823651
7;2;0.015196687;1.277935699;1.289651936;0.012983126;1.002714424;1.006035774
7;3;0.015640458;1.247873608;1.54991732;0.012494665;1.016712151;1.017861517
7;4;0.017768443;1.417800217;1.404179927;0.012388146;1.011907849;1.0093924
7;5;0.019858811;1.783632888;1.502524998;0.012274914;1.003217526;1.003546115
7;6;0.020569298;1.930348803;1.299772755;0.012144376;1.001393989;1.004120992
7;7;0.02171945;1.410627005;1.224948356;0.012011699;0.997630897;1.002509253
7;8;0.025162276;0.838069707;1.276638013;0.011858095;0.984808977;0.991691557
7;9;0.027201782;0.965929778;1.446505382;0.011569117;0.982098451;0.990716187
7;10;0.026765269;0.901912319;1.558810836;0.011347151;0.990937681;0.999523401
7;11;0.023689965;0.53096288;1.498411142;0.011370026;1.008825609;1.014314287
7;12;0.021549666;0.280840319;1.587904666;0.011509235;1.024768453;1.02145005
7;13;0.017465939;0.303745264;1.535579742;0.011565141;1.046999025;1.043673569
7;14;0.023046712;0.262587554;1.419353994;0.011747742;1.02038623;1.02086612
7;15;0.029231831;0.238334639;1.419923196;0.011963465;0.990187489;0.996492507
7;16;0.020905;0.312147261;1.609753574;0.011568196;1.047780307;1.049788029
7;17;0.034062363;0.187616486;1.442793686;0.011689006;0.991798386;0.996186892
7;18;0.046521494;0.183344135;1.240419533;0.01153027;0.947431204;0.957079384
7;19;0.044289817;0.144617649;1.431634623;0.01097063;0.977802454;0.988012747
7;20;0.061869156;0.323951001;1.64129491;0.011004327;0.915952522;0.927104322
7;21;0.061876419;0.268572668;1.782326192;0.010467179;0.93909823;0.949392852
7;22;0.088728993;0.172677279;2.196307531;0.010103754;0.856309169;0.872779603
7;23;0.097520778;0.11364309;1.93485975;0.008981906;0.854561129;0.870364884
7;24;0.088054333;0.141569982;2.110207719;0.008108562;0.914312687;0.929829914
7;25;0.09908407;0.134374122;2.352099673;0.007610006;0.889553282;0.908182545
7;26;0.118083022;0.241302563;2.424132431;0.0068987;0.839066145;0.860178907
7;27;0.126967769;0.265850002;2.901741318;0.005912174;0.827393797;0.849641333
7;28;0.131441912;0.31477297;2.931348798;0.005249099;0.824498372;0.841327757
7;29;0.12342998;0.465255417;2.726065552;0.004810316;0.859462916;0.874660592
7;30;0.127662326;0.382947165;2.510851819;0.004363485;0.848858042;0.863647082
7;31;0.13167725;0.227731555;2.301610541;0.004030282;0.835153729;0.851994928
7;32;0.133554847;0.317065991;2.614582;0.003861927;0.825210633;0.840638743
7;33;0.120631781;0.474143173;3.438448001;0.003694233;0.864497107;0.879277061
7;34;0.11054483;0.417174648;2.942993104;0.003826397;0.890237653;0.905245253
7;35;0.101734639;0.352033316;2.875794331;0.004304709;0.907063775;0.921536536
7;36;0.097547742;0.198165437;3.651713766;0.004913127;0.903317009;0.917602945
7;37;0.10197796;0.257418399;3.511142402;0.005540286;0.86671745;0.877696554
7;38;0.084134001;0.258861511;3.222275226;0.005930374;0.924416575;0.929001414
7;39;0.082916013;0.370517514;3.691759212;0.006631472;0.905762739;0.913848096
7;40;0.075309305;0.317512838;3.73875989;0.007115293;0.92137315;0.929964336
7;41;0.071700579;0.493820103;3.491546673;0.007505402;0.921982066;0.931827128
7;42;0.077648959;0.562045015;3.257269225;0.008182432;0.880497518;0.888785515
7;43;0.07638493;0.592842047;2.807536911;0.008500292;0.877803582;0.880295337
